sample,total_count,population,count,percentage
sample00000,93214,b_cell,10908,11.70210483
sample00000,93214,cd4_t_cell,20491,21.98274937
sample00000,93214,cd8_t_cell,24440,26.21923745
sample00000,93214,monocyte,23511,25.22260605
sample00000,93214,nk_cell,13864,14.87330229
sample00001,100824,b_cell,6777,6.72161390
sample00001,100824,cd4_t_cell,33459,33.18555106
sample00001,100824,cd8_t_cell,19407,19.24839324
sample00001,100824,monocyte,23011,22.82293898
sample00001,100824,nk_cell,18170,18.02150282
sample00002,92822,b_cell,9794,10.55137791
sample00002,92822,cd4_t_cell,24274,26.15112797
sample00002,92822,cd8_t_cell,22940,24.71396867
sample00002,92822,monocyte,18332,19.74962832
sample00002,92822,nk_cell,17482,18.83389714
sample00003,93160,b_cell,10081,10.82116788
sample00003,93160,cd4_t_cell,36157,38.81172177
sample00003,93160,cd8_t_cell,20271,21.75933877
sample00003,93160,monocyte,12610,13.53585230
sample00003,93160,nk_cell,14041,15.07191928
sample00004,107903,b_cell,4372,4.05178725
sample00004,107903,cd4_t_cell,38293,35.48835528
sample00004,107903,cd8_t_cell,33778,31.30404159
sample00004,107903,monocyte,14933,13.83928158
sample00004,107903,nk_cell,16527,15.31653429
sample00005,105359,b_cell,15431,14.64611471
sample00005,105359,cd4_t_cell,30805,29.23812868
sample00005,105359,cd8_t_cell,31940,30.31539783
sample00005,105359,monocyte,15779,14.97641398
sample00005,105359,nk_cell,11404,10.82394480
sample00006,99774,b_cell,5897,5.91035741
sample00006,99774,cd4_t_cell,28319,28.38314591
sample00006,99774,cd8_t_cell,31296,31.36688917
sample00006,99774,monocyte,21606,21.65494016
sample00006,99774,nk_cell,12656,12.68466735
sample00007,98424,b_cell,10403,10.56957653
sample00007,98424,cd4_t_cell,33870,34.41233845
sample00007,98424,cd8_t_cell,13504,13.72023084
sample00007,98424,monocyte,18031,18.31971877
sample00007,98424,nk_cell,22616,22.97813541
sample00008,90353,b_cell,8829,9.77167333
sample00008,90353,cd4_t_cell,21307,23.58195079
sample00008,90353,cd8_t_cell,26215,29.01397851
sample00008,90353,monocyte,16378,18.12668091
sample00008,90353,nk_cell,17624,19.50571647
sample00009,95821,b_cell,7650,7.98363615
sample00009,95821,cd4_t_cell,21097,22.01709437
sample00009,95821,cd8_t_cell,33334,34.78778138
sample00009,95821,monocyte,15676,16.35967064
sample00009,95821,nk_cell,18064,18.85181745
sample00010,107537,b_cell,13203,12.27763467
sample00010,107537,cd4_t_cell,27873,25.91945098
sample00010,107537,cd8_t_cell,21339,19.84340274
sample00010,107537,monocyte,31913,29.67629746
sample00010,107537,nk_cell,13209,12.28321415
sample00011,89815,b_cell,10621,11.82541892
sample00011,89815,cd4_t_cell,29391,32.72393253
sample00011,89815,cd8_t_cell,19786,22.02972777
sample00011,89815,monocyte,16497,18.36775594
sample00011,89815,nk_cell,13520,15.05316484
sample00012,109579,b_cell,14128,12.89298132
sample00012,109579,cd4_t_cell,40320,36.79537138
sample00012,109579,cd8_t_cell,21720,19.82131613
sample00012,109579,monocyte,18802,17.15839714
sample00012,109579,nk_cell,14609,13.33193404
sample00013,109488,b_cell,10681,9.75540699
